ID	sentiment	sentence
1	 	and hurray, i finally got paid for doing all the housework. i hence thereforth have a job - domesticated maid. 
2	 	sorting through seminar photos. sifu's hands are blurry in every one 
3	 	cairns in 20 minutes bed here i come!!
4	 	sucks. not sux. i miss you so much 
5	 	just got off the phone with the mechanic. starter alone is $300, then plus labor... i am screwed. 
6	 	@ karna i had a bad afternoon! ruins the whole europe mood. 
7	 	@ thanks! i appreciate that. 
8	 	@ revolta follower hj? 
9	 	it's a blaqk audio (waves at @ day today, methinks. so exciting that they're working on new material!! 
10	 	@ sorry to hear about your bad allergic reaction. i hope they will figure out what caused it.
11	 	at london standsted airport right now. not long now until i get home! 
12	 	miss my dog shaggy. rip 
13	 	@ hell yeah..go colts!! 
14	 	i shall run. 
15	 	@ please reply to me 
16	 	wanted to bike to charlottenlund or a bit further up the coast after work, but now it started raining 
17	 	oh no charlie's angel farrah fawcett passed away at the age of 62 
18	 	@ 2day..it just went across the tv...as a new report 
19	 	it's telling that there is no eircom rep among the talking heads in today's digital ireland special on infrastructure 
20	 	is loving the weather 
21	 	@ bring your rain ware, it has been raining in most part last days. walking shoes to get to nice sceneries 
22	 	@ that's my baby boy! his name is stuart aka stewey 
23	 	@ haha. thanks.. yeah i got that tattoo like sept 2008. its pretty sick for sure.. i get to see all subnoize and tech on sat!!
24	 	@ u should come say hi to me at work! im here by myself 
25	 	farrah fawcett you will be missed 
26	 	i'm home alone again 
27	 	rip farrah you were a truly beautiful person.
28	 	@ best lyrics on the album= i start to freak and scream so loud just like the females in the crowd 
29	 	@ booklet! i can't wait to get it now! but at the same time, i don't want to go out into humidity!
30	 	@ your not baby!! 
31	 	metro is too crowded to tweet and it's at least 35c inside 
32	 	@ oh no, farrah fawcett... may her soul rest in peace. 
33	 	slept in and didn't mean to. oops. 
34	 	@ have an great time! you rock!! 
35	 	farrah faucett has lost her battle with cancer. i adored her growing up, even had the farrah haircut. 
36	 	just got home from my exam tomrrow i have another one and them friday and im done ! yes babbyy ! woo t
37	 	i am avin a crapbday dropped meatballs all over my jeans 
38	 	is mompreneur. any moms in biz? come join the featured mompreneur! invitation here - URL 
39	 	eating a slice of toast with rasberry jelly yummi 
40	 	URL - sepp blatter was here at the sabc on an official visit! thats as close as i could get 
41	 	@ i'd hope the two aren't mutually exclusive. 
42	 	@ awesome! i'm so excited! we have a long overdue re-do outting after that hiphop weekend hahaha..
43	 	i need special apapachitos because i very very chipil 
44	 	@ thanks! i think so too. i call her my &quot;late birthday present from god.&quot; 
45	 	amen @ pj ,,theyrs another special about her on tonight,,i luvved her growin up,,so sad 
46	 	@ that was neat wasnt it! i had a sneak preview - you deserve a whole chapter 
47	 	i am contemplating career moves. 
48	 	@ well i don't feel bad about it that's for sure. 
49	 	has an interview at pacsun today at 1:30 
50	 	anybody wanna meet up with me at bam? i'm getting a book 
51	 	godd i h8 it wen my mum taks out myy stupid bruvaz anga out on mee it relli pisses me (angrii)!
52	 	me, the terrepin and chanel URL
53	 	@ you spelled 3 words wrong in that sentence 
54	 	@ i know i listened to the guy but had to leave b4 they called her. and im sorry about luigi 
55	 	she txt me back. 
56	 	the new album of the jb is soo awesome, can't wait to august 29th ! 
57	 	@ sort of kind of 
58	 	@ i am missing #segb hard.... ::cries:: glad to hear ur good! 
59	 	new tatoo love you meggiiee
60	 	@ i must have skipped the &quot;pun&quot; setting, it appears to have been set to &quot;comedy-freeze&quot;, which would explain the dire lack of humour 
61	 	farrah fawcett died this morning 
62	 	feeling sad that farrah fawcett has died 
63	 	@ @ can't wait to see you tonight! no storm will stop us!! 
64	 	farrah fawcett has passed away at 62 
65	 	@ twitter easier, send once all receive 
66	 	@ rofl just a nice cuppa, chocolate and a hot water bottle would be good enough...besides, its not wat u say tis how u say it 
67	 	just treated myself to a very comfy looking red 'phonics hoody 
68	 	very sad news. farrah fawcett passed away. 
69	 	prayers for farrah fawcett's family sad day for them
70	 	@ i know girl. so sad URL
71	 	@ talk about getting kicked when you're down.. 
72	 	time to get back to work man it's gonna be a long day!
73	 	just sold our house to get a lower house pmt and the house we wanted just sold - what to do?? 
74	 	omg there is soo much traffic!! there's never traffic at this time!! 
75	 	@ always welcome 
76	 	can youu people leave me some comments pleasee??!! thankyouu 
77	 	bob (the dog) in neighbours dies bad times
78	 	@ good to hear all's cool. i've just sent you a dm hope it'll start to help you 
79	 	hanging with laura today, gonna get me a snow cone 
80	 	dude woke up really early to get my car worked on. now i'm waiting here @ carlson subaru with nothing to do 
81	 	waiting for dad . we watched 'old school' with our germanteacher
82	 	@ oh okay, well i did know the first band you mentioned by name, but other than that don't know what they sound like 
83	 	my brain is officially broken. 
84	 	the girl's first tweet: shawn is driving to work . i hope he has a nice day. 
85	 	@ working on paperwork to purchase our first home. yay 
86	 	@ i was there for a while.... haha... my fellows left so had to go and i felt a bit sickies i-d
87	 	@ she only passed away about an hour ago so you're not too much out the loop! its tragic! 
88	 	hoping to keep people updated on the the way my testicles rule my life - good and bad ! today: large, heavy and needing some action 
89	 	why does home and away have to be so upsetting 
90	 	i broke my little toe today 
91	 	@ thanks for your kind words 
92	 	@ sure............. bighead 
93	 	wow has the day started shitty! behind at work, manager a no show, tired, and got some sad news 
94	 	ach... who gives a rats funky bitch ass! 
95	 	@ if you like to support talented young singers? add me 
96	 	@ you're consuming the twins?!? 
97	 	@ sorry, i had to 
98	 	@ get me something, lol. i am in class right now 
99	 	well u forgot is cool i walked u to the car the last time saw u, wanted a kiss but u dised me 
100	 	thank god for his timing. i got my dream house after all. 
101	 	the day i try to sleep in there's a maintence guy standing on our back porch pressure washing. 
102	 	starting work at 11am is great! until i think about how long i might have to be here 
103	 	@ .....isn't that the sham-wow guy? 
104	 	@ oh thanks for the info: i love john taylor!! can't wait to watch! so sad about the cancellation 
105	 	- one hour not so voluntarily overtime... not too happy. 
