ID	sentiment	sentence
1	pos	i love @ u guys r the best!! 
2	pos	im meeting up with one of my besties tonight! cant wait!! - girl talk!!
3	pos	@ thanks for the twitter add, sunisa! i got to meet you once at a hin show here in the dc area and you were a sweetheart. 
4	pos	being sick can be really cheap when it hurts too much to eat real food plus, your friends make you soup
5	pos	@ he has that effect on everyone 
6	pos	@ you can tell him that i just burst out laughing really loud because of that thanks for making me come out of my sulk!
7	pos	@ thans for your response. ihad already find this answer 
8	pos	@ i am so jealous, hope you had a great time in vegas! how did you like the acm's?! love your show!! 
9	pos	@ ah, congrats mr fletcher for finally joining twitter 
10	pos	@ i responded stupid cat is helping me type. forgive errors 
11	pos	crazy day of school. there for 10 hours straiight. about to watch the hills. @ told me too! ha. happy birthday jb! 
12	pos	@ how did i forget about two and a half men?!?!? i love that show!! 
13	pos	@ haha, don't worry! you'll get the hang of it! 
14	pos	@ at least i won't be the only one feeling lost! this may cause me many later than usual nights, already addicting 
15	pos	@ make sure you dm me if you post a link to that video! &lt;lol&gt;so i don't miss it better get permission and blessing first?
16	pos	just added tweetie to my new iphone 
17	pos	@ i really don't know. i think its globe! yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
18	pos	@ your picture is very sweet 
19	pos	catching up on emails, rss and random bacn. then i'm cutting out early tonight (11:30pm) to have dinner with @ 
20	pos	dancing around the room in pjs, jamming to my ipod. getting dizzy. well twitter, you asked! 
21	pos	didn't place in the peeps contest but thanks for voting anyways. 
22	pos	going to bed so goodnight everyone and sweet dreams URL
23	pos	@ walking over to put the deposit down tomorrow 
24	pos	is now followinq @ , you shud do tha same 
25	pos	@ are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
26	pos	aw i'm holding my new puppy. well he's not mine but he's a cutie. 
27	pos	@ kitteh is sleepin on my crotch which proves she likes me more 
28	pos	@ agreed 
29	pos	reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm - URL
30	pos	@ i was just thinking about you tonight! you have to let me be the first to interview you're a famous super star 
31	pos	happy to spend time with the family. 
32	pos	finally going to bed! so tired. was gonna watch the hills but didnt =/
33	pos	so effing tired of my throat hurting.... oohh... i just got a crazy craving for a pina colada/banana slushie!! 
34	pos	@ upload di indowebster dong bangg 
35	pos	@ you're welcome. glad you enjoyed it. 
36	pos	@ hahaha!! omg! we wer both laughin off d hook! cuz das how we roll...ryt sheldawg?
37	pos	@ aww pookie feel better. i'll pray for you...and bag the nurse up 
38	pos	yay! found a new cuddle buddy 
39	pos	i think i met my first &quot;snob&quot; on twitter tonight. too bad. life goes on! 
40	pos	across the universe. sleep. rehearsal tomorrow. 
41	pos	@ dry sweet potato, huh? 
42	pos	@ hi jon! great to hear from you! see you on the cruise, i cannot wait! hope all is well on the knight bus! you are loved!
43	pos	having a long conversation with mom on phone 
44	pos	@ yayy! lol. i just requested herr. what did she say? 
45	pos	practicing lines/mannerisms/voices for upcoming feature shoot. probably driving brock crazy. 
46	pos	going to go and read new moon for the 3rd time i cant get enough of twilight series 
47	pos	today is our two month anniversary!! i love you soo much diana. omg you dont even know tar heels won the ncaa woot!!
48	pos	i am bored 
49	pos	@ it is a wallpaper with red square i was asking for 
50	pos	@ thanks for your response. ihad already find this answer 
51	pos	@ well yeah! i only noticed cuz i'm bb too. 
52	pos	just tryna get inspired thats all 
53	pos	@ can't get up early enough!! night workouts are much better. 
54	pos	@ can't wait to see ur hot ass in austin! woot woot!! annd love the bob with purple, i went the royal color way as well 
55	pos	@ i got a bunch of buffy songs too! one of my faves is &quot;vivian&quot; by nerf herder, when faith met spike in buffy's body. 
56	pos	#devunity wallpaper check this out ! --&gt; URL
57	pos	morning tweetland, a long day ahead! hope everyone has a great day 
58	pos	uploading pictures on friendster 
59	pos	@ aw dont you love that i love for those days! thanks about the pic ;-p
60	pos	noodlebox with amanda tonight 
61	pos	@ sorry, i'm doing like 29823782 different things. kevin jonas' girlfriend 
62	pos	@ they are so serious too while singing like.. whoa hehe lsd maybe? j/k lolol
63	pos	loving life... and loving you 
64	pos	@ i love sicilians best damn pizza on the planet [says i] 
65	pos	loves chocolate milk and that is gf yeah..
66	pos	going to sutter creek tomorrow to tour an old mine 
67	pos	@ i'll look into that cho, i personally like strawberry but i'm going to become coach soon 
68	pos	@ guess where i live. the other side of the earth east mesa, losiento
69	pos	@ so apart from the sore... how was the tryouts? 
70	pos	failed physics test... what a homo. keen for the holidays (2 days to go) 
71	pos	just observed the update look of #alexa website, URL , looks great, seems alexa is improving 
72	pos	@ so what can you tell us about it? i'm totally geeking out right now 
73	pos	@ bonjour spacecowboy,i wish i was either of it .i work with kids, can go out whenever i want and go wherever i want to 
74	pos	@ goodnight. 
75	pos	my brother is sick too lol. quite weird 
76	pos	@ *gives a hug and a cookie* hope you feel better! 
77	pos	@ hey jon! it's real and i hope you take care of yourself...we don't want you to get too rundown. ((hugs))
78	pos	just wrote on a toilet wall... but only to correct poor spelling. and in highlighter, so it will wash off. hardcore 
79	pos	had a good tech meeting at clubzone - dinner was sushi 
80	pos	@ thanks for the hook up with @ and suggesting me again bro! you rock! 
81	pos	@ depends on which version they thought you the one i know doesn't go like that ;)
82	pos	@ hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much 
83	pos	@ lurkers now that was interesting 
84	pos	@ mine is b north. still need to decide 'aaru hithavaru ninage ee moovarolage' to vote 
85	pos	@ um i bought my shit from the koreans its oach highest quality out there baby i paid an extra 3.50 2 get a real tag sewed in
86	pos	eating ice-cream with chocolate topping 
87	pos	@ your telling me.. just finished doing 200 crunches! step it up diddy ! lets go!
88	pos	@ daang i didn't know it was possible to talk that long! what'd you guys talk about 
89	pos	@ west. mostly san jose and san francisco.
90	pos	nikki is off working her ass off on a bike, trying to recover from her knee injury. (good for her. 
91	pos	@ i would love to come help unpack let me know where i need to be sat afternoon!
92	pos	shenagians! my team is awesome&lt;3
93	pos	listening to some music and just chilling....i'll probably regret not getting work done...but till then i'm just gonna kick back 
94	pos	i am doing a study of think &amp; grow rich - wow - it's amazing how timeless the law of attraction is! so now we're on our 6 step program! 
95	pos	@ oh good! i'm glad you're feeling better! i've been really good! it'll be a crazy week though... in a good way! 
96	pos	21 days till chris comes home and 67 days till summer 
97	pos	@ yeah, those were the days - no, it's now around 1.47ish...
98	pos	@ am i the first one to tell you you tweet the most while drinking! lol. 
99	pos	@ kay thanks. 
100	pos	goodnight 
101	pos	i am determined to get back into baseball -- it's been 5 years since i've really watched the sport. anyone interested in going to a game? 
102	pos	@ good for you becca, have a good sleep. 
103	pos	@ and ur home is where? ohh i nkow lexington ky rite next to me 
104	pos	just seen the preview for the movie &quot;obsessed&quot; w/ beyonce. wow one crazy broad in that movie &amp; beyonce seems to go nuts in it too! 
105	pos	easy rider till i fall asleep 
106	pos	@ i'm very, very, very excited about the live broadcast of paris-roubaix. 
107	pos	just had a real good moment. i miss him so much, 
108	pos	@ i have two too. i just don't know how people survive winter without jungle gyms at home 
109	pos	@ just started to work. but it's the last one before holidayholiday!! 
110	pos	watchin greek then off to knighty knight!! 
111	pos	i am working on my media room design and i love love love my client profile 
112	pos	@ its pretty lame..hahaha but yay i get to stalk your sexy ass on here now 
113	pos	@ aww, thanks 
114	pos	another good day nitey nite everyone! first day of school tomorrow!! ahh i'm kinda nervous yet excited...til tomorrow!
115	pos	thinking and planning 
116	pos	good enough.. time to go sleep off whatever i can, be happier tomorrow ? here's hopin.. go check my fb. for what is in store for me now. 
117	pos	@ what do you mean, i do those things now and i'm old! 
118	pos	@ been listening to that all morning URL
119	pos	@ and you have me to thank for that 
120	pos	@ thanks pam... glad you enjoyed it. yes, life is short, it's *now*. no need to struggle... just make better choices every day. 
121	pos	@ hmm you have a lot to say tonight! that's great! of course, here i am up late reading it. haha
122	pos	@ congrats on 100,00 followers. wow almost 4 times of what i have 
123	pos	@ are we going to be getting any nm updates this time around? i'm not really screaming. just wondering. thanks! 
124	pos	@ that's freakin' cool i love twitter .haha
125	pos	@ maybe. there's nothing wrong with being caring. but try not to care too much. 
126	pos	why does brissa not even know she has a twitter? -lauren 
127	pos	@ i thought it was a great love story 
128	pos	@ no, that's just the mirror you're looking in. 
129	pos	@ thanks! i couldn't have done it without you 
130	pos	wow that was neat, thanks god! overitnow&lt;3 i apologize for sharing my spiritual moment with the general public of twitter 
131	pos	... 31 days until i leave for ontario!! 
132	pos	just spoke with my fam in #japan via #skype! love to see my little 16-mo-old nephew growing! 
133	pos	@ ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser 
134	pos	@ holy laundry woman! 
135	pos	@ i hate it too, but i just got back from the trainer. go! 
136	pos	@ lol you�re so fucking funny 
137	pos	working on setting up my ipod touch, which as of today is officially mine!! 
138	pos	@ saw the tvc yesterday.. worked for me 
139	pos	jon could totally say mannies and peddies and i would shut my fat face about it. 
